                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.4886,                 3.3149,                 1.6052,                 1.3647,                0.41327,                0.42857,                0.30816,                0.09034,                      0,                      0,                      0,                      0,                 2.3781,                   3.88,                 2.2738,                  1.847,              0.0018772,              0.0018772,              0.0018772
                     64,                 1.4179,                 3.3384,                 1.5694,                 1.3509,                0.55281,                0.35328,                0.34035,                0.11282,                      0,                      0,                      0,                      0,                 2.1775,                 3.8997,                 2.2233,                 1.7111,              0.0018753,              0.0018753,              0.0018753
                     65,                 1.3702,                  3.415,                 1.4977,                 1.3576,                0.42061,                0.32414,                0.26768,                0.08595,                      0,                      0,                      0,                      0,                 2.2002,                 3.9322,                 2.3135,                 1.7096,              0.0018733,              0.0018733,              0.0018733
                     66,                 1.3496,                 3.2841,                 1.4706,                 1.3052,                0.30849,                0.35714,                0.18502,                0.06862,                      0,                      0,                      0,                      0,                 2.1313,                 4.1258,                 2.3845,                 1.6787,              0.0018713,              0.0018713,              0.0018713
                     67,                 1.3449,                 3.2239,                 1.5178,                 1.3281,                0.36133,                0.32143,                0.27665,                0.09829,                      0,                      0,                      0,                      0,                 2.0275,                 4.2057,                 2.3562,                 1.7112,              0.0018693,              0.0018693,              0.0018693
                     68,                 1.3825,                 3.2845,                 1.5204,                 1.3297,                0.32399,                0.28571,                0.28658,                 0.1233,                0.27298,                0.01786,                0.00517,                0.00052,                 2.0949,                 4.2021,                 2.1113,                 1.8156,              0.0018673,              0.0018673,              0.0018673
                     69,                 1.3086,                 3.2423,                 1.3973,                  1.299,                0.35107,                   0.25,                 0.3086,                0.12308,                      0,                      0,                      0,                      0,                 2.0619,                 4.0144,                 2.0645,                 1.7663,              0.0018654,              0.0018654,              0.0018654
                     70,                 1.3374,                 3.2506,                 1.3921,                 1.3453,                0.43012,                0.35714,                0.32328,                0.09623,                 0.0006,                0.03571,                0.00035,                  4e-05,                  2.076,                 4.0076,                 2.0467,                 1.7704,              0.0018634,              0.0018634,              0.0018634
                     71,                 1.3742,                 3.3176,                 1.5149,                  1.331,                0.52875,                0.33929,                0.34169,                0.11169,                0.00506,                0.03571,                0.00066,                  7e-05,                 2.1147,                 4.0581,                 2.0747,                 1.7199,              0.0018614,              0.0018614,              0.0018614
                     72,                  1.383,                 3.3205,                 1.4658,                 1.3688,                0.42852,                0.44643,                0.35453,                0.15379,                0.01076,                0.01786,                0.00172,                0.00022,                 1.8612,                 3.8541,                 1.8113,                 1.5516,              0.0018594,              0.0018594,              0.0018594
